course0.12_2018_3_5.cnf,hordesat,default,UNKNOWN,10000
course0.16_2018_3_5.cnf,hordesat,default,UNKNOWN,10000
course0.2_2018_3_5.cnf,hordesat,default,UNKNOWN,10000
course0.2_2018_3.cnf,hordesat,default,UNKNOWN,10000
course_flat_0.12_2018_3_1.cnf,hordesat,default,SATISFIABLE,161.16
course_flat_0.12_2018_3_3.cnf,hordesat,default,UNKNOWN,10000
course_flat_0.12_2018_3_5.cnf,hordesat,default,UNKNOWN,10000
course_flat_0.12_2018_3.cnf,hordesat,default,UNKNOWN,10000
course_flat_0.16_2018_3.cnf,hordesat,default,UNKNOWN,10000
course_flat_0.2_2018_3.cnf,hordesat,default,UNKNOWN,10000
courses0.12_2017_9.cnf,hordesat,default,UNKNOWN,10000
courses0.2_2017_9.cnf,hordesat,default,SATISFIABLE,1043.02
courses_flat_0.12_2017_9.cnf,hordesat,default,UNKNOWN,10000
courses_flat_0.16_2017_9.cnf,hordesat,default,SATISFIABLE,2795.27
cz-3-7-7.cnf,hordesat,default,UNSATISFIABLE,3428.84
cz-alt-3-7.cnf,hordesat,default,UNSATISFIABLE,1763.12
cz-d-4-7-5.cnf,hordesat,default,UNKNOWN,10000
dist10.c.cnf,hordesat,default,UNKNOWN,10000
dist4.c.cnf,hordesat,default,UNSATISFIABLE,90.06
dist5.c.cnf,hordesat,default,UNKNOWN,10000
dist6.c.cnf,hordesat,default,UNSATISFIABLE,115.12
dist7.c.cnf,hordesat,default,UNKNOWN,10000
dist8.c.cnf,hordesat,default,UNKNOWN,10000
dist9.c.cnf,hordesat,default,UNKNOWN,10000
ecarev-110-1031-23-40-1.cnf,hordesat,default,SATISFIABLE,825.11
ecarev-110-1031-23-40-2.cnf,hordesat,default,UNKNOWN,10000
ecarev-110-1031-23-40-3.cnf,hordesat,default,UNKNOWN,1396.11
ecarev-110-1031-23-40-5.cnf,hordesat,default,UNKNOWN,10000
ecarev-110-1031-23-40-6.cnf,hordesat,default,UNKNOWN,10000
ecarev-110-1031-23-40-7.cnf,hordesat,default,UNKNOWN,10000
ecarev-110-1031-23-40-8.cnf,hordesat,default,UNKNOWN,10000
ecarev-110-4099-22-30-2.cnf,hordesat,default,UNKNOWN,10000
ecarev-110-4099-22-30-4.cnf,hordesat,default,UNKNOWN,10000
ecarev-110-4099-22-30-5.cnf,hordesat,default,UNKNOWN,10000
ecarev-110-4099-22-30-7.cnf,hordesat,default,UNKNOWN,10000
e_rphp035_05.cnf,hordesat,default,UNSATISFIABLE,756.17
e_rphp055_04.cnf,hordesat,default,UNKNOWN,10000
e_rphp056_05.cnf,hordesat,default,UNKNOWN,10000
e_rphp065_04.cnf,hordesat,default,UNKNOWN,10000
e_rphp065_05.cnf,hordesat,default,UNKNOWN,10000
e_rphp096_04.cnf,hordesat,default,UNKNOWN,10000
ex009_10.cnf,hordesat,default,UNKNOWN,10000
ex015_14.cnf,hordesat,default,UNKNOWN,10000
ex025_19.cnf,hordesat,default,UNKNOWN,10000
ex039_33.cnf,hordesat,default,UNKNOWN,10000
ex045_7.cnf,hordesat,default,UNKNOWN,10000
ex051_9.cnf,hordesat,default,UNKNOWN,10000
ex065_24.cnf,hordesat,default,UNKNOWN,10000
ex065_25.cnf,hordesat,default,UNKNOWN,156.60
ex067_10.cnf,hordesat,default,SATISFIABLE,379.56
ex095_8.cnf,hordesat,default,UNSATISFIABLE,3473.58
ex145_10.cnf,hordesat,default,UNKNOWN,10000
ex145_11.cnf,hordesat,default,UNKNOWN,10000
ex157_10.cnf,hordesat,default,SATISFIABLE,862.89
ex175_17.cnf,hordesat,default,UNKNOWN,10000
ex175_18.cnf,hordesat,default,UNKNOWN,10000
ex175_20.cnf,hordesat,default,UNKNOWN,10000
ex177_12.cnf,hordesat,default,UNKNOWN,10000
ex177_13.cnf,hordesat,default,UNKNOWN,10000
ex179_11.cnf,hordesat,default,UNKNOWN,10000
ex187_10.cnf,hordesat,default,UNKNOWN,10000
exam0.04_2018_3.cnf,hordesat,default,SATISFIABLE,2939.29
exam_flat_0.04_2018_3.cnf,hordesat,default,SATISFIABLE,2704.92
exams0.04_2017_9.cnf,hordesat,default,UNKNOWN,10000
exams_flat_0.04_2017_9.cnf,hordesat,default,UNKNOWN,10000
factoring29986577x29986577.cnf,hordesat,default,SATISFIABLE,666.71
factoring39916801x54018521.cnf,hordesat,default,UNKNOWN,10000
factoring54018521x562448657.cnf,hordesat,default,UNKNOWN,10000
factoring87654321x12345678.cnf,hordesat,default,SATISFIABLE,1947.34
factoring94418953x321534781.cnf,hordesat,default,SATISFIABLE,2275.70
filter1_true-unreach-call.c.cnf,hordesat,default,UNSATISFIABLE,2368.16
filter_iir_true-unreach-call.c.cnf,hordesat,default,UNKNOWN,10000
frb35-17-5_ext.cnf,hordesat,default,UNKNOWN,10000
frb35-17-5-mgd_ext.cnf,hordesat,default,UNKNOWN,10000
full-ax-xa.rules.7-7.cnf,hordesat,default,UNKNOWN,10000
full-by-za.rules.5-7.cnf,hordesat,default,SATISFIABLE,152.85
full-cy-caa.rules.7-7.cnf,hordesat,default,UNKNOWN,10000
gto_p50c291.cnf,hordesat,default,UNKNOWN,10000
gto_p50c307.cnf,hordesat,default,UNKNOWN,10000
gto_p50c311.cnf,hordesat,default,UNKNOWN,10000
gto_p50c312.cnf,hordesat,default,UNKNOWN,10000
gto_p50c314_1.cnf,hordesat,default,UNKNOWN,5000.00
gto_p50c314.cnf,hordesat,default,UNKNOWN,10000
gto_p50c345_1.cnf,hordesat,default,UNKNOWN,10000
gto_p50c345.cnf,hordesat,default,UNKNOWN,10000
gto_p60c231_1.cnf,hordesat,default,UNSATISFIABLE,123.21
gto_p60c231.cnf,hordesat,default,UNKNOWN,10000
gto_p60c233.cnf,hordesat,default,UNSATISFIABLE,68.04
gto_p60c234.cnf,hordesat,default,UNSATISFIABLE,68.81
gto_p60c235.cnf,hordesat,default,UNSATISFIABLE,489.21
gto_p60c238.cnf,hordesat,default,UNSATISFIABLE,534.73
gto_p60c239.cnf,hordesat,default,UNSATISFIABLE,57.69
gto_p60c241.cnf,hordesat,default,UNKNOWN,10000
gto_p60c243.cnf,hordesat,default,UNKNOWN,10000
gto_p60c295.cnf,hordesat,default,UNKNOWN,10000
gto_p60c343.cnf,hordesat,default,UNKNOWN,10000
huck.col.11.cnf,hordesat,default,UNKNOWN,10000
Karatsuba4477457x5308417.cnf,hordesat,default,UNKNOWN,10000
Karatsuba6972593x13466917.cnf,hordesat,default,UNKNOWN,10000
Karatsuba7654321x1234567.cnf,hordesat,default,SATISFIABLE,1103.60
le450_15a.col.15.cnf,hordesat,default,UNKNOWN,10000
le450_15b.col.15.cnf,hordesat,default,UNKNOWN,10000
le450_15c.col.15.cnf,hordesat,default,UNKNOWN,10000
le450_25a.col.25.cnf,hordesat,default,UNKNOWN,10000
le450_25b.col.25.cnf,hordesat,default,UNKNOWN,10000
le450_25c.col.25.cnf,hordesat,default,UNKNOWN,10000
lei450-05b-05.cnf,hordesat,default,UNKNOWN,10000
less-cy-caa.rules.4-9.cnf,hordesat,default,UNKNOWN,10000
less-cy-caa.rules.6-4.cnf,hordesat,default,UNKNOWN,10000
magicSquare-8_glb.cnf,hordesat,default,UNKNOWN,10000
magicSquare-9_glb.cnf,hordesat,default,UNKNOWN,10000
mchess_15.cnf,hordesat,default,UNSATISFIABLE,10.14
mchess_16.cnf,hordesat,default,UNSATISFIABLE,8.83
mchess_17.cnf,hordesat,default,UNKNOWN,10000
mchess_18.cnf,hordesat,default,UNSATISFIABLE,19.54
mchess_19.cnf,hordesat,default,UNKNOWN,10000
mchess_20.cnf,hordesat,default,UNSATISFIABLE,6.82
mod8-abd-yad.rules.7-7.cnf,hordesat,default,UNKNOWN,10000
mod8-bbd-zbd.rules.7-7.cnf,hordesat,default,UNKNOWN,10000
Nb11T118.cnf,hordesat,default,UNKNOWN,10000
Nb13T165.cnf,hordesat,default,UNKNOWN,10000
Nb13T166.cnf,hordesat,default,UNKNOWN,10000
Nb14T194.cnf,hordesat,default,UNKNOWN,10000
Nb27T6.cnf,hordesat,default,UNKNOWN,10000
Nb29T6.cnf,hordesat,default,UNSATISFIABLE,1572.25
Nb37T6.cnf,hordesat,default,UNSATISFIABLE,1295.48
Nb39T6.cnf,hordesat,default,UNKNOWN,5000.00
Nb42T6.cnf,hordesat,default,UNKNOWN,10000
Nb44T6.cnf,hordesat,default,UNKNOWN,10000
Nb45T6.cnf,hordesat,default,UNKNOWN,10000
Nb49T6.cnf,hordesat,default,UNSATISFIABLE,1568.81
Nb51T6.cnf,hordesat,default,UNKNOWN,10000
Nb52T6.cnf,hordesat,default,UNKNOWN,10000
Nb54T6.cnf,hordesat,default,UNSATISFIABLE,1764.55
Nb8T60.cnf,hordesat,default,UNKNOWN,10000
Nb8T61.cnf,hordesat,default,UNKNOWN,10000
Nb8T62.cnf,hordesat,default,UNKNOWN,10000
Nb8T63.cnf,hordesat,default,UNKNOWN,10000
newton_3_4_true-unreach-call.i.cnf,hordesat,default,UNKNOWN,10000
newton_3_6_false-unreach-call.i.cnf,hordesat,default,SATISFIABLE,541.53
ortholatin-7.cnf,hordesat,default,UNKNOWN,10000
pals_floodmax.5_overflow_false-unreach-call.ufo.UNBOUNDED.pals.c.cnf,hordesat,default,UNKNOWN,10000
pals_lcr.8_overflow_false-unreach-call.ufo.UNBOUNDED.pals.c.cnf,hordesat,default,UNKNOWN,10000
pals_lcr-var-start-time.5_true-unreach-call.ufo.UNBOUNDED.pals.c.cnf,hordesat,default,UNKNOWN,10000
pals_lcr-var-start-time.6_true-unreach-call.ufo.UNBOUNDED.pals.c.cnf,hordesat,default,UNSATISFIABLE,247.24
patat-08-comp-3.cnf,hordesat,default,SATISFIABLE,105.12
prime_119218851371.cnf,hordesat,default,UNSATISFIABLE,61.37
prime_200560490131.cnf,hordesat,default,UNSATISFIABLE,196.14
Problem11_label29_false-unreach-call.c.cnf,hordesat,default,SATISFIABLE,1593.29
Problem11_label51_false-unreach-call.c.cnf,hordesat,default,UNKNOWN,4391.77
Problem14_label14_false-unreach-call.c.cnf,hordesat,default,UNKNOWN,10000
Problem14_label19_true-unreach-call.c.cnf,hordesat,default,UNKNOWN,10000
Problem14_label20_true-unreach-call.c.cnf,hordesat,default,UNSATISFIABLE,135.62
Problem14_label48_true-unreach-call.c.cnf,hordesat,default,UNKNOWN,10000
Problem14_label55_true-unreach-call.c.cnf,hordesat,default,UNKNOWN,10000
Problem14_label57_false-unreach-call.c.cnf,hordesat,default,UNKNOWN,10000
quadratic_loose_error.c.cnf,hordesat,default,UNKNOWN,10000
quadratic_tight_error.c.cnf,hordesat,default,UNKNOWN,10000
queen12_12.col.12.cnf,hordesat,default,UNSATISFIABLE,22.82
queen13_13.col.13.cnf,hordesat,default,UNSATISFIABLE,10.07
queen14_14.col.14.cnf,hordesat,default,UNSATISFIABLE,34.60
queen15_15.col.15.cnf,hordesat,default,UNKNOWN,10000
queen8_12.col.12.cnf,hordesat,default,UNSATISFIABLE,5.79
queen8-8-9.cnf,hordesat,default,UNKNOWN,10000
queen8_8.col.9.cnf,hordesat,default,UNKNOWN,10000
ramsey-30-4.cnf,hordesat,default,SATISFIABLE,118.59
ramsey-32-4.cnf,hordesat,default,UNKNOWN,10000
satcoin-genesis-SAT-1024.cnf,hordesat,default,SATISFIABLE,192.11
satcoin-genesis-SAT-10.cnf,hordesat,default,SATISFIABLE,49.01
satcoin-genesis-SAT-128.cnf,hordesat,default,UNKNOWN,10000
satcoin-genesis-SAT-16.cnf,hordesat,default,UNKNOWN,10000
satcoin-genesis-SAT-2048.cnf,hordesat,default,SATISFIABLE,395.56
satcoin-genesis-SAT-256.cnf,hordesat,default,UNKNOWN,10000
satcoin-genesis-SAT-32.cnf,hordesat,default,UNKNOWN,10000
satcoin-genesis-SAT-3.cnf,hordesat,default,UNKNOWN,68.34
satcoin-genesis-SAT-4096.cnf,hordesat,default,UNKNOWN,2947.83
satcoin-genesis-SAT-4.cnf,hordesat,default,UNKNOWN,10000
satcoin-genesis-SAT-512.cnf,hordesat,default,SATISFIABLE,61.61
satcoin-genesis-SAT-5.cnf,hordesat,default,SATISFIABLE,21.81
satcoin-genesis-SAT-64.cnf,hordesat,default,UNKNOWN,10000
satcoin-genesis-SAT-7.cnf,hordesat,default,UNKNOWN,10000
satcoin-genesis-SAT-8192.cnf,hordesat,default,SATISFIABLE,24.17
satcoin-genesis-SAT-8.cnf,hordesat,default,UNKNOWN,20.25
satcoin-genesis-SAT-9.cnf,hordesat,default,UNKNOWN,10000
school1.col.14.cnf,hordesat,default,UNKNOWN,10000
school1_nsh.col.14.cnf,hordesat,default,UNKNOWN,10000
sdiv15prop.cnf,hordesat,default,UNSATISFIABLE,76.54
sdiv16prop.cnf,hordesat,default,UNSATISFIABLE,1003.21
sdiv17prop.cnf,hordesat,default,UNSATISFIABLE,452.72
sdiv20prop.cnf,hordesat,default,UNKNOWN,10000
sdiv25prop.cnf,hordesat,default,UNKNOWN,10000
sdiv30prop.cnf,hordesat,default,UNKNOWN,10000
sdiv40prop.cnf,hordesat,default,UNKNOWN,10000
si2-b03m-m400-03.cnf,hordesat,default,UNKNOWN,10000
si2-b03m-m800-03.cnf,hordesat,default,UNKNOWN,10000
si2-b06m-m1000-03.cnf,hordesat,default,UNKNOWN,10000
si2-m4Dr2-m256-08.cnf,hordesat,default,UNKNOWN,939.18
si2-r001-m200-00.cnf,hordesat,default,UNKNOWN,10000
si2-r001-m200-09.cnf,hordesat,default,SATISFIABLE,386.81
sqrt_Householder_pseudoconstant_true-unreach-call.c.cnf,hordesat,default,UNKNOWN,10000
sqrt_ineq_2.c.cnf,hordesat,default,UNKNOWN,10000
sqrt_ineq_3.c.cnf,hordesat,default,SATISFIABLE,219.69
sted1_0x0-330.cnf,hordesat,default,SATISFIABLE,265.52
sted1_0x0-350.cnf,hordesat,default,UNKNOWN,10000
sted1_0x0-380.cnf,hordesat,default,UNKNOWN,10000
sted1_0x0-420.cnf,hordesat,default,UNKNOWN,10000
sted1_0x1e3-100.cnf,hordesat,default,UNKNOWN,10000
sted1_0x1e3-200.cnf,hordesat,default,UNKNOWN,10000
sted1_0x1e3-300.cnf,hordesat,default,UNKNOWN,10000
sted1_0x24204-330.cnf,hordesat,default,UNKNOWN,10000
sted1_0x24204-350.cnf,hordesat,default,UNKNOWN,10000
sted1_0x24204-380.cnf,hordesat,default,UNKNOWN,10000
sted5_0x0-40.cnf,hordesat,default,UNKNOWN,10000
sted5_0x0-50.cnf,hordesat,default,SATISFIABLE,189.52
sted5_0x0-60.cnf,hordesat,default,UNKNOWN,10000
sted5_0x0-70.cnf,hordesat,default,UNKNOWN,10000
sted5_0x1e3-20.cnf,hordesat,default,UNKNOWN,10000
sted5_0x1e3-40.cnf,hordesat,default,UNKNOWN,10000
sted5_0x1e3-60.cnf,hordesat,default,UNKNOWN,10000
sted5_0x24204-50.cnf,hordesat,default,UNKNOWN,10000
sted5_0x24204-60.cnf,hordesat,default,UNKNOWN,10000
sted5_0x24204-70.cnf,hordesat,default,UNKNOWN,10000
T103.2.0.cnf,hordesat,default,UNKNOWN,10000
T105.2.0.cnf,hordesat,default,UNKNOWN,10000
T107.2.0.cnf,hordesat,default,UNKNOWN,10000
T116.2.0.cnf,hordesat,default,UNKNOWN,10000
T117.2.0.cnf,hordesat,default,UNKNOWN,10000
T122.2.0.cnf,hordesat,default,UNKNOWN,10000
T125.2.0.cnf,hordesat,default,UNKNOWN,10000
T129.2.0.cnf,hordesat,default,UNSATISFIABLE,3347.64
T56.2.0.cnf,hordesat,default,UNSATISFIABLE,3081.76
T62.2.0.cnf,hordesat,default,UNKNOWN,10000
T77.2.0.cnf,hordesat,default,UNKNOWN,10000
T82.2.0.cnf,hordesat,default,UNKNOWN,10000
T84.2.0.cnf,hordesat,default,UNKNOWN,10000
T86.2.0.cnf,hordesat,default,UNKNOWN,10000
T87.2.0.cnf,hordesat,default,UNKNOWN,10000
